,0
B03_buffer_600,0.0010403390932378883
NDWI__,0.001027082994797117
B06__,0.001017017077700743
B08_buffer_200,0.0010104123247445661
NDBI_buffer_50,0.0010036742550372014
B08_buffer_100,0.0009910724675605096
NDWI_buffer_500,0.0009779298805035032
B11_buffer_50,0.0009764267892442528
B01_buffer_600,0.0009752048518498545
B01_buffer_50,0.0009613102693130125
B01_buffer_450,0.0009526982344744704
NDWI_buffer_50,0.0009465458368597277
B01_buffer_500,0.0009405042419886209
B01_buffer_100,0.0009185968273730354
NDVI__,0.0009133211908371172
B01_buffer_150,0.000889805331829134
NDWI_buffer_100,0.0008883114544019111
B02_buffer_450,0.0008855315121116022
NDBI__,0.000879231511985432
B01_buffer_400,0.0008761260053244754
B01_buffer_200,0.0008618579294770144
B03_buffer_800,0.0008473848941092064
B03_buffer_100,0.0008392252520243096
B04_buffer_600,0.0008249908502794818
B04_buffer_700,0.000812035163048392
B06_buffer_100,0.0007907873483016291
B02_buffer_700,0.0007738189780366535
B02_buffer_300,0.0007706243347127517
B02_buffer_100,0.0007271357950125936
B01_buffer_300,0.0007246053036864119
B03__,0.0007151962402021445
B02_buffer_800,0.0007127659856579512
B03_buffer_400,0.0007056098527324858
B02__,0.0006917410186253977
B03_buffer_300,0.0006516950096080196
B04_buffer_250,0.000649808496246431
B02_buffer_200,0.0006475793274471875
B04_buffer_50,0.0006395902491297177
B04_buffer_150,0.0006340288408878279
B04_buffer_100,0.0006157085297473405
B03_buffer_450,0.0006139725801094634
B01_buffer_250,0.0006064727582984577
B03_buffer_250,0.0005985662434964873
B03_buffer_150,0.0005840394858366867
B03_buffer_200,0.0005702460595631054
B02_buffer_250,0.0005568445150032304
B04_buffer_200,0.0005544842976177891
B04_buffer_500,0.0005544421411599306
B02_buffer_50,0.0005405945490480226
B03_buffer_350,0.0004873123476672925
B03_buffer_50,0.0004784443720426014
B04__,0.0004697789852113862
B02_buffer_150,0.0004584953313079421
B02_buffer_400,0.0003993672435588845
