,0
sum_volume_1000,0.23897047299518903
sum_area_900,0.05577547265796088
B11_buffer_1000,0.04077025566041815
sum_volume_700,0.03569096776534668
sum_volume_250,0.03152134144542516
sum_area_1000,0.023703090436885708
B03_buffer_1000,0.022754735943715815
sum_area_800,0.019038122890596337
NDBI_buffer_1000,0.016832893719581462
sum_volume_450,0.016317305434934558
sum_volume_900,0.01619419555700964
sum_area_700,0.0161187580966664
LST,0.014892087770472273
sum_volume_800,0.014225095837945788
B06_buffer_1000,0.013216610583340525
sum_area_500,0.012698778820220545
sum_area_250,0.012625730521613334
sum_volume_300,0.01240789903120406
sum_volume_600,0.011872920688102766
sum_area_300,0.010728614210164703
sum_volume_500,0.009996563434183054
NDVI_buffer_150,0.009730845700273666
sum_area_600,0.009317779624402037
sum_volume_350,0.0077208962199887985
B08_buffer_800,0.007226397166603936
sum_area_450,0.007103421033527702
sum_volume_400,0.007016233246842382
B08_buffer_1000,0.006852637197070618
NDWI_buffer_150,0.006844148565880857
NDBI_buffer_900,0.006701296525553153
sum_volume_150,0.006221692859218764
sum_volume_200,0.005945614972498083
NDVI_buffer_1000,0.005560973678318807
B06_buffer_800,0.005482865459647495
sum_area_150,0.0054098715959159495
sum_volume_100,0.005368529219472459
NDVI_buffer_400,0.005162668040316879
sum_area_400,0.004982174004572375
sum_area_350,0.0047124271504932315
B06_buffer_900,0.004560263662775057
sum_area_200,0.004554585188868013
B02_buffer_900,0.004327356748928858
B01_buffer_1000,0.004077266420100737
NDBI_buffer_800,0.004029348330532753
NDBI_buffer_700,0.003932498996747115
sum_volume_50,0.003880016465046708
sum_area_50,0.0037893652918517917
NDWI_buffer_250,0.0037426146796199337
NDWI_buffer_1000,0.0036760381349432826
sum_area_100,0.003631329638472811
B11_buffer_900,0.0034696645862650017
B08_buffer_700,0.00323769325311419
NDWI_buffer_350,0.003232756930160093
B06_buffer_700,0.002972396741712619
B11_buffer_600,0.0029494133662083095
B08_buffer_900,0.0029087659915267034
B06_buffer_600,0.0027989273635070223
NDWI_buffer_200,0.0027080521938119668
B06_buffer_500,0.002673480614218694
NDBI_buffer_600,0.0026661401562441877
B04_buffer_1000,0.002659560181393893
B11_buffer_800,0.0026037117064318348
NDWI_buffer_800,0.0025510781546712502
NDWI_buffer_700,0.002532802771830224
NDVI_buffer_600,0.002294523496334179
B08_buffer_500,0.002286188438790275
B01__,0.002277728914865514
NDVI_buffer_450,0.0022499062062286816
NDWI_buffer_900,0.002243469153041294
B08_buffer_300,0.00215158128475834
B04_buffer_800,0.0021409502614913273
